Pattern Name,Event Type,Output Fields,Corpus Hits,Example Input Line
player_login,player_login,"handle, geid",4599,"<ts> [Notice] <Expect Incoming Connection> ... nickname=""Mallachi"" playerGEID=201990621533 ..."
ship_boarded,ship_boarded,"ship, owner, raw",330,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""You have joined channel '@vehicle_NameRSI_Hermes : Mallachi'."
ship_exited,ship_exited,"ship, owner, raw",150,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""You have left the channel '@vehicle_NameRSI_Hermes : Mallachi'."
contract_accepted,contract_accepted,name,570,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Contract Accepted:  Alliance Aid: Treatment Cargo Haul - Medium Scale: """
contract_completed,contract_completed,name,279,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Contract Complete: Alliance Aid: Small Supply of Research Resource: """
contract_failed,contract_failed,name,12,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Contract Failed: Bounty Assignment: Masakazu Laroche (HRT): """
qt_target_selected,qt_target_selected,destination,392,"<ts> [Notice] <Player Selected Quantum Target - Local> ... Player has selected point LOC_RR_S2_L1 as their destination ..."
qt_arrived,qt_arrived,(none),239,"<ts> [Notice] <Quantum Drive Arrived - Arrived at Final Destination> ... Quantum Drive has arrived at final destination ..."
location_change,location_change,"player, location",1260,"<ts> [Notice] <RequestLocationInventory> Player[Amiscus] requested inventory for Location[RR_CRU_L1]"
jurisdiction_entered,jurisdiction_entered,jurisdiction,660,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Entered UEE Jurisdiction: """
armistice_entered,armistice_entered,(none),774,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Entering Armistice Zone - Combat Prohibited: """
armistice_exited,armistice_exited,(none),635,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Leaving Armistice Zone - Caution Advised: """
armistice_exiting,armistice_exiting,(none),9,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Exiting Armistice Zone: You have left the confines of the Armistice Zone..."""
monitored_space_entered,monitored_space_entered,(none),403,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Entered Monitored Space: """
monitored_space_exited,monitored_space_exited,(none),157,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Exited Monitored Space: """
monitored_space_down,monitored_space_down,(none),3,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Monitored Space Down: """
monitored_space_restored,monitored_space_restored,(none),3,"<ts> [Notice] <SHUDEvent_OnNotification> Added notification ""Monitored Space Restored: """
